30000	0.01063649222	0.0002589441941
31000	0.01131541726	0.0002723938727
32000	0.01222065064	0.0002905416938
33000	0.01342816501	0.0003153918977
34000	0.01450924609	0.0003375860932
35000	0.01593172119	0.0003670722421
36000	0.01759656652	0.0004022199789
37000	0.01956834532	0.0004441323359
38000	0.02158273381	0.0005020757138
39000	0.02445730825	0.0005623305564
40000	0.02780203785	0.0006331533065
41000	0.03220588235	0.0007451093636
42000	0.03779761905	0.0008638497946
43000	0.04653312789	0.0010813558
44000	0.05857605178	0.001344570057
45000	0.07657342657	0.001799920628
45500	0.08913857678	0.002091165814
46000	0.1038383838	0.002439429788
46500	0.1180043384	0.002784077466
47000	0.1287671233	0.003051301644
47500	0.1318604651	0.00313160837
48000	0.1253393665	0.002969752184
48500	0.1131355932	0.00266491798
49000	0.1012024048	0.002378665379
49500	0.08876404494	0.002083157551
50000	0.07914438503	0.00186076107
51000	0.06434494196	0.001527796882
52000	0.05396825397	0.00124309494
53000	0.04651162791	0.001082027957
54000	0.04036144578	0.0009493989105
55000	0.03541666667	0.0008136955925
56000	0.03191176471	0.000738986084
57000	0.02923976608	0.0006829331493
58000	0.02678311499	0.0006320231198
59000	0.02460202605	0.0005653581179
60000	0.02273381295	0.0005259207412
61000	0.02143884892	0.00049910468
62000	0.02017167382	0.0004725507737
63000	0.01888412017	0.0004293429091
64000	0.0179743224	0.0004100035867
65000	0.01706970128	0.0003908481577
66000	0.01621621622	0.0003730021227
